PlayerClassDatafile
{
	// FilePLayerClassInfo_t members
	"printname"			"#class_red_class1"	
	"playermodel"			"models/player/red_player.mdl"
	"selectcmd"			"cls_red_class1"

	// CSDKPlayerClassInfo members

	// What team has this class, for verification
	"team"				"RED"

	// Weapon Info
	"primaryweapon"		"pistol"
	"secondaryweapon"	"none"
	"meleeweapon"		"crowbar"

	"grenadetype"		"grenade"
	"numgrens"		"1"
	
	"limitcvar"		"mp_limit_red_class1"

	"classimage"		"cls_red_class1_active"
	"classimagebg"		"cls_red_class1_active_bg"

	"armor"			"50"

	// Movement
	"RunSpeed"		"240"
	"SprintSpeed"		"360"
	"ProneSpeed"		"70"
}
